species_id wild_type mean var CV ER
MgATP 0.00152212 0.0015221408480000755 1.7006896921561293e-16 8.567570739609116e-06 7.350764441582669e-15
Glc6P 4.10568e-05 4.1055878919998724e-05 5.1462799239271986e-17 0.00017473155776633848 3.0529679673207966e-12
MgADP 9.3914e-05 9.39155167199968e-05 4.6456177119207244e-17 7.257455508521858e-05 5.267075886550288e-13
B23PG 0.00308725 0.0030869492909999783 1.168404938501743e-13 0.0001107304835744625 1.2258879911186682e-12
Glc16P2 0.000106204 0.00010620342609999598 2.67503822610959e-16 0.00015400203830153217 2.371613416762841e-12
GSH 0.00320001 0.003200009564000347 4.58346468418247e-17 2.115658993136283e-06 4.1820991114605023e-16
Fru6P 1.33196e-05 1.3319558519999963e-05 4.710634899058853e-18 0.0001629483219173617 2.655207020918482e-12
Fru16P2 2.33004e-06 2.3278247729999207e-06 1.3354130856404907e-17 0.001569847725467655 2.459738022708713e-10
ATP 0.000158404 0.00015839575560000247 7.12034225784339e-17 5.327296818473995e-05 2.837696633228859e-13
Mg 0.000370341 0.0003703291905000045 5.899863469103204e-16 6.558930589338083e-05 4.301586975508087e-13
AMP 2.94017e-05 2.9381776829998652e-05 7.707212430924947e-16 0.0009448668427462258 8.91563755711644e-11
Phos 0.000994883 0.0009948830000000351 -1.300195574035351e-19 nan 0.0
GrnP 2.19974e-05 2.2031609699998587e-05 1.9155303937409406e-15 0.0019865444835535677 3.958642840640181e-10
GraP 5.2942e-06 5.293820607000205e-06 6.060266664555729e-17 0.0014705393392456811 2.1621762411605517e-10
MgB23PG 0.000768035 0.0007680224561999615 1.7139338993193975e-15 5.390426339618641e-05 2.9055614580997257e-13
NAD 5.9895e-05 5.989508846999959e-05 1.2376483120171538e-19 5.873641236603292e-06 3.4717340113843422e-15
B13PG 3.68147e-07 3.681154980000072e-07 1.1058674998833342e-21 9.03373705502841e-05 8.159442788091553e-13
NADH 2.45021e-07 2.449172544000079e-07 1.1329026863880617e-19 0.0013742853632639452 1.8870612458199433e-10
P3GA 7.19791e-05 7.197825794000264e-05 2.929312901207513e-18 2.3778340993204442e-05 5.6548377092013876e-14
P2GA 1.20293e-05 1.20291686399996e-05 8.596611517746294e-20 2.437406905765091e-05 5.941053204949753e-14
PEP 2.02575e-05 2.0257153870000897e-05 5.419814552466617e-19 3.634241525659167e-05 1.320672238236398e-13
Pyr 5.85717e-05 5.857379407000449e-05 7.010235460684875e-17 0.0001429430178051455 2.043426094999745e-12
Lac 0.00140443 0.0014037158600000471 2.090170556183084e-12 0.00102993936135054 1.0596966387721451e-10
NADPH 6.40171e-05 6.400381323999926e-05 6.933711617369584e-17 0.00013009992257427902 1.691876216902699e-12
NADP 1.07852e-07 1.2119035189999878e-07 6.928592107072005e-17 0.06868382149403744 5.956464923886129e-07
BPGSP 2.99956e-07 2.999809576000161e-07 7.620313166941128e-22 9.202222347969312e-05 8.469693835166936e-13
BPGSPB13PG 2.15521e-08 2.1552118200000488e-08 1.9236866211880136e-26 6.4354245371674785e-06 4.179834256490267e-15
BPGSPP 6.88542e-07 6.885406784000177e-07 1.773682432363613e-23 6.1165753358082965e-06 3.767897105433349e-15
BPGSPPP3GA 9.16871e-11 9.16859217600047e-11 3.239677477193915e-30 1.9631262614269315e-05 3.854802033131932e-14
BPGSPPP2GA 8.37576e-12 8.375644449000107e-12 2.73883013226053e-32 1.9758970627287904e-05 3.903394274473726e-14
BPGSPB23PG 1.66687e-06 1.6668472819999245e-06 1.095551042022118e-21 1.9857313709273683e-05 3.9427350273513184e-14
BPGSPPPhos 1.12298e-06 1.122978727999942e-06 5.0838892032549876e-23 6.349309665961125e-06 4.008104959041247e-15
P6GL 1.12797e-08 1.0475076236999818e-08 1.5022427063931943e-19 0.037000948714847215 1.1807147969787879e-07
P6G 3.41956e-05 3.342554318000012e-05 1.453635314532999e-11 0.11406417380015325 1.2431255955186126e-06
Ru5P 4.1504e-06 4.220410406000003e-06 4.0388204380343177e-14 0.047618157536052155 2.3446317217783453e-07
GSSG 8.57847e-08 8.49115656700023e-08 1.1459735900848823e-17 0.03986763336458174 1.557237793956001e-07
