name clust
Rul5P 0.166666666667
PEP 0.0
P2f 0.0
Rib5P 0.0
P2NADP 0.0
NADPf 0.0952380952381
NADH 0.0
P2NADPH 0.0
P1NADPH 0.0
NAD 0.0
Mgf 0.333333333333
Xul5P 0.333333333333
Phi 0.2
MgATP 0.0727272727273
Pyr 0.0
MgAMP 0.166666666667
AMPf 0.333333333333
Gri2P 0.0
Gri23P2f 0.333333333333
Sed7P 0.333333333333
ATPf 0.0
Gri13P2 0.2
Lac 0.0
GraP 0.142857142857
GlcA6P 0.5
Glc6P 0.1
E4P 0.666666666667
GSH 0.0
DHAP 1.0
Fru16P2 0.333333333333
MgADP 0.107142857143
GSSG 0.0
NADPHf 0.0952380952381
Fru6P 0.238095238095
P1NADP 0.0
Gri3P 0.166666666667
MgGri23P2 0.0
P1f 0.0
Glcin 0.0
ADPf 0.666666666667
